# time scale_factor entropy
17.780000 23661896059588688.000000 43238218346683808.000000
17.800000 22808029540028268.000000 43482560119458408.000000
17.820000 21932396682773572.000000 43683419332113560.000000
17.840000 21035821036089564.000000 43840595125436608.000000
17.860000 20119149695260256.000000 43953930323634200.000000
17.880000 19183252325281940.000000 44023311591508176.000000
17.900000 18229020167497280.000000 44048669547790624.000000
17.920000 17377773287406720.000000 44029978834525288.000000
17.940000 16634163133956142.000000 43967258142425440.000000
17.960000 15992682592302628.000000 43860570192183160.000000
17.980000 15448034954241282.000000 43710021671748688.000000
18.000000 14995123588100940.000000 43515763129642464.000000
18.020000 14629042189903980.000000 43277988824406616.000000
18.040000 14345065586472026.000000 42996936530346352.000000
18.060000 14138641062560764.000000 42672887299755736.000000
18.080000 14005380185438748.000000 42306165181865376.000000
18.100000 13941051101590508.000000 41897136898793144.000000
18.120000 13941571281426932.000000 41446211478822120.000000
18.140000 14003000689028872.000000 40953839847372280.000000
18.160000 14121535355036378.000000 40420514376075056.000000
18.180000 14293501331828712.000000 39846768390401760.000000
18.200000 14515349011122090.000000 39233175636338064.000000
18.220000 14783647785045574.000000 38580349706638032.000000
18.240000 15095081032643180.000000 37888943427231352.000000
18.260000 15446441414594350.000000 37159648204397448.000000
18.280000 15834626459747826.000000 36393193333359152.000000
18.300000 16256634427827606.000000 35590345268987488.000000
18.320000 16709560433396308.000000 34751906859346848.000000
18.340000 17190592816852528.000000 33878716542846848.000000
18.360000 17697009748896762.000000 32971647509804008.000000
18.380000 18226176055526724.000000 32031606829251364.000000
18.400000 18775540251219052.000000 31059534541869460.000000
18.420000 19342631768522160.000000 30056402719945696.000000
18.440000 19925058372825644.000000 29023214495301984.000000
18.460000 20520503751586756.000000 27961003056162976.000000
18.480000 21126725267785212.000000 26870830613967800.000000
18.500000 21741551867845368.000000 25753787341158656.000000
18.520000 22362882134710688.000000 24610990281008348.000000
18.540000 22988682477180656.000000 23443582230577040.000000
18.560000 23616985447025836.000000 22252730597915148.000000
18.580000 24245888175783760.000000 21039626234655344.000000
18.600000 24873550923507684.000000 19805482245160888.000000
18.620000 25498195732092796.000000 18551532773421264.000000
18.640000 26118105176141272.000000 17279031768908224.000000
18.660000 26731621204649296.000000 15989251732626276.000000
18.680000 27337144067106572.000000 14683482444611700.000000
18.700000 27933131317892948.000000 13363029674152512.000000
18.720000 28518096893137828.000000 12029213874019170.000000
18.740000 29090610254477148.000000 10683368860011810.000000
18.760000 29649295594400184.000000 9326840477144440.000000
18.780000 30192831098125108.000000 7960985253799926.000000
18.800000 30719948257178384.000000 6587169045201609.000000
18.820000 31229431230079632.000000 5206765667558093.000000
18.840000 31720116245750692.000000 3821155524247017.500000
18.860000 32190891045475900.000000 2431724225411695.500000
18.880000 32640694359440536.000000 1039861202350961.500000
18.900000 33068515414066388.000000 353041681912123.312500
18.920000 33473393466547800.000000 1745591524493295.750000
18.940000 33854417363168804.000000 3136395775549975.500000
